Date,KO,PEP,rolling_intercept,rolling_beta,rolling_spread,spread_mean,spread_std,zscore,pair_position,KO_ret,PEP_ret,pair_position_lagged,beta_series,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2020-03-30,37.505035400390625,104.27664184570312,-16.5457165321055,0.5485318260589465,-3.148304834422156,,,,0.0,0.05115593025138021,0.0416736593005842,0.0,0.5485318260589465,0.0,-0.0,0.0,0.0,0.0,0.0,0.046414794775982204,1.0,1.0464147947759823
2020-03-31,36.87995147705078,99.80573272705078,-17.186460941125812,0.553714718959598,-1.1974908293390882,,,,0.0,-0.01666666666666672,-0.0428754612683816,0.0,0.553714718959598,0.0,-0.0,0.0,0.0,0.0,0.0,-0.02977106396752416,1.0,1.015261912984143
2020-04-01,35.10470962524414,98.1603012084961,-17.54439127954332,0.5566823513077854,-1.9950063770385995,,,,0.0,-0.048135688381025,-0.016486342754024164,0.0,0.5566823513077854,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03231101556752458,1.0,0.9824577695085975
2020-04-02,36.62992858886719,102.93038177490234,-18.174349592109515,0.5620108108833339,-3.0437091448673,,,,0.0,0.04344770202930959,0.04859480368009894,0.0,0.5620108108833339,0.0,-0.0,0.0,0.0,0.0,0.0,0.046021252854704264,1.0,1.0276717069382215
2020-04-03,36.5299072265625,103.53703308105469,-18.82092014670827,0.5672363426787095,-3.379140603431239,,,,0.0,-0.0027305912448621905,0.005893802157258321,0.0,0.5672363426787095,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0015816054561980653,1.0,1.0292970781170954
2020-04-06,38.896881103515625,108.9968490600586,-19.45757780903751,0.5723542746204902,-4.030353567135755,,,,0.0,0.06479550748029261,0.05273297695066903,0.0,0.5723542746204902,0.0,-0.0,0.0,0.0,0.0,0.0,0.05876424221548082,1.0,1.089782940927255
2020-04-07,38.76354217529297,108.43177032470703,-19.743507874372003,0.574096638792204,-3.743264832037582,,,,0.0,-0.0034280107926341064,-0.005184358449116244,0.0,0.574096638792204,0.0,-0.0,0.0,0.0,0.0,0.0,-0.004306184620875175,1.0,1.085090134386942
2020-04-08,39.85535430908203,110.20183563232422,-20.06562374555886,0.5761523907738395,-3.5720730125884046,,,,0.0,0.028165953690500345,0.016324231379019283,0.0,0.5761523907738395,0.0,-0.0,0.0,0.0,0.0,0.0,0.022245092534759814,1.0,1.1092280648349342
2020-04-09,40.83881759643555,111.0494613647461,-20.171685943021384,0.5763447887266983,-2.9922748090212963,,,,0.0,0.024675813435922844,0.0076915754402664405,0.0,0.5763447887266983,0.0,-0.0,0.0,0.0,0.0,0.0,0.016183694438094642,1.0,1.1271794728983817
2020-04-13,39.11358642578125,108.7724609375,-20.19361531270561,0.5758932722628016,-3.334126722887781,,,,0.0,-0.042244885434804424,-0.020504380654015053,0.0,0.5758932722628016,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03137463304440974,1.0,1.0918146305610037
