Date,JPM,V,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,V_ret,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2020-01-02,119.03643035888672,182.8092498779297,19.91669391419937,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-01-03,117.46560668945312,181.3553466796875,19.593099948276787,,,,0.0,-0.013196159064058466,-0.007953116153657569,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.010574637608858017,1.0,0.989425362391142
2020-01-06,117.37214660644531,180.96315002441406,19.83608545440181,,,,0.0,-0.0007956378521493113,-0.0021625866700590857,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0014791122611041985,1.0,0.9879618912061818
2020-01-07,115.37676239013672,180.48492431640625,18.25094678176565,,,,0.0,-0.017000491803214723,-0.002642669007161369,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.009821580405188046,1.0,0.9782585440544387
2020-01-08,116.27682495117188,183.574462890625,16.500651131492404,,,,0.0,0.007801073131101344,0.017117986922844164,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.012459530026972754,1.0,0.9904471857582277
2020-01-09,116.7013931274414,184.84666442871094,15.833862229057118,,,,0.0,0.0036513568068943236,0.006930166200970644,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.005290761503932484,1.0,0.9956874056003154
2020-01-10,115.53807067871094,185.3440399169922,14.243866612860856,,,,0.0,-0.009968368136446193,0.0026907463535705833,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.003638810891437805,1.0,0.9920642874243496
2020-01-13,116.4975814819336,186.83619689941406,13.923331734205917,,,,0.0,0.008304715472451152,0.008050741653684357,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.008177728563067754,1.0,1.0001771198840193
2020-01-14,117.85618591308594,187.52488708496094,14.691143836839373,,,,0.0,0.011662082713391309,0.003686064033500136,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.007674073373445722,1.0,1.0078525524884507
2020-01-15,116.09001922607422,191.11183166503906,9.847919591573302,,,,0.0,-0.01498577841568871,0.019127832235158237,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0020710269097347633,1.0,1.0099398422456993
