Date,JPM,MA,rolling_intercept,rolling_beta,spread,spread_mean,spread_std,zscore,pair_position,JPM_ret,MA_ret,beta_used,pair_position_lagged,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2020-03-30,79.3915786743164,244.818603515625,-26.945010452101773,0.45306248477427497,-4.581535701338936,,,,0.0,0.026006764182213704,0.022612616930602902,0.45306248477427497,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.024309690556408303,1.0,1.0243096905564082
2020-03-31,76.4451675415039,233.51779174804688,-27.77502469872057,0.4549095469774892,-2.00928061506319,,,,0.0,-0.03711238876983913,-0.046159938849814064,0.4549095469774892,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0416361638098266,1.0,0.9816613644884088
2020-04-01,71.63072204589844,220.99893188476562,-28.295716322815995,0.4558340406232596,-0.8123977257428123,,,,0.0,-0.0629790691869645,-0.053609876016592506,0.4558340406232596,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0582944726017785,1.0,0.9244359329720148
2020-04-02,74.30543518066406,230.92701721191406,-28.49597582163678,0.45572322829446665,-2.4373947819245103,,,,0.0,0.03734030676183564,0.04492368013943704,0.45572322829446665,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.04113199345063634,1.0,0.9624598257125526
2020-04-03,72.10912322998047,229.13861083984375,-28.99255915368009,0.4566331913762104,-3.5306127516488033,,,,0.0,-0.029557890958360478,-0.007744465734943251,0.4566331913762104,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.018651178346651864,1.0,0.9445088158517003
2020-04-06,76.75053405761719,257.086181640625,-29.482692068938825,0.45753035758386273,-11.391506489349041,,,,0.0,0.06436648540065715,0.12196796820207312,0.45753035758386273,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.09316722680136513,1.0,1.0325060829140444
2020-04-07,77.76289367675781,250.45448303222656,-30.32328635251325,0.4592701164138091,-6.940079549300009,,,,0.0,0.013190261560664052,-0.025795624510339232,0.4592701164138091,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.00630268147483759,1.0,1.025998525952605
2020-04-08,80.9029312133789,262.3343200683594,-30.826774853144837,0.46018823464680053,-8.993461573003287,,,,0.0,0.04037963851594184,0.04743311795542593,0.46018823464680053,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.043906378235683885,1.0,1.0710464053023343
2020-04-09,88.1610107421875,260.8336486816406,-31.13330940139683,0.46032432863332895,-0.773754070773478,,,,0.0,0.08971343089740014,-0.005720453909071832,0.46032432863332895,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.04199648849416415,1.0,1.1160265933393296
2020-04-13,84.24026489257812,254.96632385253906,-30.717464100956466,0.458161546774583,-1.8580363181739585,,,,0.0,-0.0444725601102165,-0.022494508890081533,0.458161546774583,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.033483534500149015,1.0,1.0786580783981685
2020-04-14,81.93243408203125,262.1116638183594,-30.456380994931813,0.4566663350031199,-7.308757800536995,,,,0.0,-0.027395816163325093,0.02802464206980071,0.4566663350031199,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.00031441295323780816,1.0,1.0789972224701314
2020-04-15,77.89157104492188,248.96348571777344,-30.539420493830434,0.45619393784943907,-5.144641391561336,,,,0.0,-0.04931945550480821,-0.05016250673109113,0.45619393784943907,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.04974098111794967,1.0,1.0253268420009245
2020-04-16,74.92313385009766,238.9135284423828,-30.629168466392606,0.4559000515904686,-3.368387626052936,,,,0.0,-0.038109864199712296,-0.04036719379316256,0.4559000515904686,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03923852899643743,1.0,0.9850945249802456
2020-04-17,81.65790557861328,251.70346069335938,-30.645467858701736,0.4554594009131352,-2.3373339778453186,,,,0.0,0.08988908208231394,0.053533729690242504,0.4554594009131352,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.07171140588627822,1.0,1.0557370382974545
2020-04-20,78.68087768554688,243.72555541992188,-30.468848118162683,0.45444304074023956,-1.609656707423511,,,,0.0,-0.03645731386289819,-0.03169565190506729,0.45444304074023956,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03407648288398274,1.0,1.0197612331819246
2020-04-21,76.3987808227539,237.5483856201172,-30.26450288726197,0.45338206562515343,-1.0368940483533464,,,,0.0,-0.029004466268329088,-0.02534477678863778,0.45338206562515343,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.027174621528483434,1.0,0.9920496076207863
2020-04-22,76.64756774902344,248.74078369140625,-30.244018264465986,0.4531550839083106,-5.8265646916087235,,,,0.0,0.003256425345932179,0.04711628766523268,0.4531550839083106,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.02518635650558243,1.0,1.0170357227095468
2020-04-23,76.69047546386719,247.7241973876953,-30.439807340872825,0.453271020725883,-5.15591700368077,,,,0.0,0.0005598053024231664,-0.004086930533161559,0.453271020725883,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0017635626153691963,1.0,1.0152421165304812
2020-04-24,77.82293701171875,250.53196716308594,-30.480413360557733,0.45284370150475173,-5.148472983122261,,,,0.0,0.014766651803914232,0.011334257230416478,0.45284370150475173,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.013050454517165355,1.0,1.028491487596173
2020-04-27,81.17745208740234,256.6897277832031,-30.44448705363633,0.4521338474623163,-4.436175085635568,,,,0.0,0.0431044522924966,0.02457874214554323,0.4521338474623163,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.033841597219019914,1.0,1.0632972822625932
2020-04-28,81.75226593017578,256.1862487792969,-30.202096503012026,0.4507137885642585,-3.5123123321947247,,,,0.0,0.007080954476799128,-0.0019614302771456815,0.4507137885642585,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0025597620998267234,1.0,1.066019070346578
2020-04-29,83.9571533203125,274.669189453125,-29.899705329147338,0.4490667546012592,-9.487942847213418,,,,0.0,0.02697035201470621,0.07214649795567718,0.4490667546012592,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.049558424985191696,1.0,1.1188492964771326
2020-04-30,82.1554946899414,266.2265930175781,-29.548107207178546,0.4470269090569201,-7.3068490882826325,,,,0.0,-0.021459262958778758,-0.030737326062513004,0.4470269090569201,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.02609829451064588,1.0,1.0896492380246434
2020-05-01,80.00209045410156,260.1945495605469,-29.35320839022865,0.4457063685638567,-6.615068960409559,,,,0.0,-0.026211323344432325,-0.02265755418592974,0.4457063685638567,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.024434438765181032,1.0,1.063024270442604
2020-05-04,79.0497817993164,260.69805908203125,-28.835207752482034,0.4430546093555674,-7.61848717454555,,,,0.0,-0.011903547137077752,0.001935127089844002,0.4430546093555674,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.004984210023616875,1.0,1.0577259342185161
2020-05-05,78.92967224121094,265.2679443359375,-28.273221507723477,0.44016966377392874,-9.560008119416437,,,,0.0,-0.0015194166937789744,0.01752941801714103,0.44016966377392874,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.008005000661681028,1.0,1.0661930310218124
2020-05-06,77.44544982910156,263.7770080566406,-27.407428890294327,0.43594533047367473,-10.139476229213471,,,,0.0,-0.018804365582230642,-0.005620491699550145,0.43594533047367473,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.012212428640890394,1.0,1.0531722247130437
2020-05-07,78.25189208984375,269.6152648925781,-26.522173934856873,0.4316229008831759,-11.598056730619845,,,,0.0,0.010413036046943436,0.022133304486810612,0.4316229008831759,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.016273170266877024,1.0,1.0703106756461447
2020-05-08,79.53021240234375,273.4590148925781,-25.154871223885138,0.42533303351798124,-11.62606872087018,,,,0.0,0.016335966816397374,0.014256425731426825,0.42533303351798124,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0152961962739121,1.0,1.0866823578148914
2020-05-11,77.18807983398438,272.2874450683594,-23.529969635664436,0.4180827441051334,-13.120632749906662,-5.842858794827042,3.636262249916041,-2.0014436404436062,1.0,-0.02944959528726665,-0.0042842611156153065,0.4180827441051334,0.0,0.0,-0.0,0.0,1.0,0.0005,-0.0005,-0.016866928201440978,0.9995,1.0683533645078551
2020-05-12,74.66575622558594,263.45745849609375,-21.70463260142844,0.40994993458384177,-11.63397904908446,-6.077940239751894,3.7771451116319774,-1.47096249816359,1.0,-0.032677631233001714,-0.032428915589732044,0.40994993458384177,1.0,0.7092450415944437,-0.2907549584055563,-0.013747579919628354,0.0,0.0,-0.013747579919628354,-0.03255327341136688,0.9857592938703315,1.0335749653330772
2020-05-13,72.09196472167969,260.6012268066406,-20.588753385158377,0.40470473820134445,-12.78583316289263,-6.4371586580128755,3.8876844930238574,-1.6330220511134452,1.0,-0.034470842244336386,-0.010841339265008743,0.40470473820134445,1.0,0.7118933771665432,-0.28810662283345684,-0.021416102656462353,0.0,0.0,-0.021416102656462353,-0.022656090754672564,0.9646481716382427,1.0101581971167335
2020-05-14,75.08612823486328,268.4920959472656,-19.827000846689884,0.4007963445450428,-12.697521513347795,-6.833329450933041,3.9002842488014964,-1.5035294066622809,1.0,0.041532555323508635,0.03027947810268694,0.4007963445450428,1.0,0.7138796470266238,-0.28612035297337624,0.020985670971869666,0.0,0.0,0.020985670971869666,0.03590601671309779,0.9848919607718585,1.0464289542252796
