window,entry_z,exit_z,train_annual_return,train_sharpe,train_max_drawdown,test_annual_return,test_sharpe,test_max_drawdown
30,2.0,0.25,0.13418709284609265,1.0245048191401553,-0.13111948257776074,0.21528099651523358,2.158296745097829,-0.047880488859048165
40,2.0,0.25,0.1108219632691545,0.9814691369571362,-0.11352545680974091,0.27526584678722266,2.6439641089641426,-0.04940518019084983
40,2.0,0.5,0.08446521654092232,0.7760377587727162,-0.11511105237268482,0.2517851933968367,2.6931728965062134,-0.05160081018934737
30,2.0,0.5,0.09600611422496463,0.761798627203949,-0.15396856022352257,0.1638223355279691,1.9386087595085926,-0.0478804888590485
40,1.5,0.25,0.09010450142759518,0.5501874211631145,-0.20302219861181425,0.2256001632091149,1.9449685765037281,-0.05388408857283611
20,2.0,0.25,0.07191469608302925,0.5301929880001355,-0.16578690114117456,0.22627331762849967,2.2774312740168754,-0.04788048885904839
20,2.0,0.5,0.06681700393661338,0.509224419749915,-0.1729208518236388,0.1966786534771301,2.0354294022835204,-0.0465471234332292
40,1.5,0.5,0.07866973537166144,0.4987717809713127,-0.18077993952092197,0.20303044757382427,1.9057825210694466,-0.056069373442790726
40,1.0,0.25,0.08005538044830551,0.452534063355832,-0.20969536318033377,0.03327760567478433,0.19803542243292482,-0.14196346654415326
30,1.5,0.25,0.0775150204213495,0.44710500059359803,-0.20302219861181403,0.17902387459585611,1.4263799406373,-0.05606937344279006
30,2.0,1.0,0.04068904187838984,0.37634866660641136,-0.16528284249568803,0.15721865759371578,2.0405948787408223,-0.0205141728696433
30,1.0,0.25,0.067141307593513,0.36129860578537604,-0.21266468671564176,0.15995629480300666,1.1840418399600383,-0.0619746644992053
30,1.5,1.0,0.046514756242805655,0.3515722980691313,-0.2173711924606755,0.04869037484702843,0.46457959146926847,-0.04654712343322931
40,1.5,1.0,0.04425671281133803,0.31289850090889404,-0.18972218555572196,0.13354621945777345,1.4472048924211813,-0.04654712343322909
40,2.0,1.0,0.028042400976004744,0.30473521497779055,-0.14458697598506842,0.1637515798775857,2.0824377461275265,-0.04137861389750075
30,1.5,0.5,0.04978208026839681,0.29782621618078775,-0.2534971197672442,0.04398992753168374,0.39685944197269724,-0.05606937344279017
40,1.0,0.5,0.048274179695790176,0.2832136590159246,-0.18427708991887315,0.204870280859351,1.6232092384223487,-0.06136640671213456
20,2.0,1.0,0.02419392485073457,0.21952097682628563,-0.12988715104735205,0.17284751533516296,1.9212630324067028,-0.04654712343322931
30,1.0,0.5,0.030157617888525667,0.16765988766189754,-0.2889769481711303,0.040019379475682904,0.33888660780900204,-0.06197466449920519
20,1.5,0.5,0.011018003279827493,0.06607817310533902,-0.22019512029292088,-0.013049922239796397,-0.10335056217317548,-0.10219396216797882
20,1.5,1.0,0.0006019686917739797,0.0046327443089023805,-0.19870096082482702,0.011805208166721703,0.10092966111625545,-0.09681699811080902
20,1.5,0.25,0.00020088455094269264,0.0011718397141732687,-0.2371159934770517,0.006824004099953429,0.05305405413126576,-0.10796955158548027
20,1.0,0.25,-0.04295146564937924,-0.22484833624219738,-0.2763799998725135,0.050787844327067955,0.3067097158454325,-0.0913292087182036
20,1.0,0.5,-0.047197127565867025,-0.256633070058794,-0.2738113961278812,0.03004958853102213,0.1834670199288382,-0.09366393401493223
10,2.0,0.25,-0.06756160527824184,-0.5374203060773663,-0.2837075747565352,0.17846301229102934,1.305919483899259,-0.060308485657110666
10,1.0,0.25,-0.1046424573008079,-0.5556208867020276,-0.44151519570824316,0.1362739296180253,0.7588851441080429,-0.09400887436791161
10,2.0,0.5,-0.07420243212518163,-0.6083179379065997,-0.2897081347841487,0.1591349977531964,1.1721309864931746,-0.060308485657110666
10,2.0,1.0,-0.05742899121878775,-0.6173732142944778,-0.23715332787898669,0.046192721605566645,0.5329105257736402,-0.060308485657110555
10,1.5,0.25,-0.1015904716465098,-0.6350999476702686,-0.3780925156811612,0.1759268705881034,1.0642612127209332,-0.07428136168170851
10,1.0,0.5,-0.12817901664116937,-0.7006558293697991,-0.49578224481707667,0.11553576433071533,0.6595185065965525,-0.09775540565412055
10,1.5,0.5,-0.1182495953492051,-0.772400837004013,-0.44534532550739847,0.15348284182329852,0.9558840060050205,-0.07871167991843797
10,1.5,1.0,-0.10586390995859396,-0.8254631915674063,-0.37983316458522876,0.03191964338535258,0.26581890725523805,-0.06398268356168613
