Date,price,returns,rolling_mean,rolling_std,zscore,position,asset_return,position_lagged,strategy_gross_return,turnover,transaction_cost,strategy_net_return,cum_asset,cum_strategy
2020-01-02,296.8881530761719,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-01-03,294.6400146484375,-0.007572341315881248,,,,0.0,-0.007572341315881248,0.0,-0.0,0.0,0.0,-0.0,0.9924276586841188,1.0
2020-01-06,295.7641296386719,0.00381521495502124,,,,0.0,0.00381521495502124,0.0,0.0,0.0,0.0,0.0,0.9962139835293071,1.0
2020-01-07,294.9324951171875,-0.00281181670847086,,,,0.0,-0.00281181670847086,0.0,-0.0,0.0,0.0,-0.0,0.9934128124052071,1.0
2020-01-08,296.5043640136719,0.005329588711002531,,,,0.0,0.005329588711002531,0.0,0.0,0.0,0.0,0.0,0.9987072941155671,1.0
2020-01-09,298.5148620605469,0.006780669328638522,,,,0.0,0.006780669328638522,0.0,0.0,0.0,0.0,0.0,1.0054791980330642,1.0
2020-01-10,297.6557922363281,-0.0028778125761943496,,,,0.0,-0.0028778125761943496,0.0,-0.0,0.0,0.0,-0.0,1.0025856173518628,1.0
2020-01-13,299.70294189453125,0.006877573733145237,,,,0.0,0.006877573733145237,0.0,0.0,0.0,0.0,0.0,1.0094809738589912,1.0
2020-01-14,299.2459716796875,-0.0015247438412018255,,,,0.0,-0.0015247438412018255,0.0,-0.0,0.0,0.0,-0.0,1.0079417739612893,1.0
2020-01-15,299.9222412109375,0.0022599118960702214,297.37709655761716,1.9385641124720963,1.31290197571785,0.0,0.0022599118960702214,0.0,0.0,0.0,0.0,0.0,1.0102196335668105,1.0
2020-01-16,302.4171142578125,0.008318399585178993,297.92999267578125,2.49283526395387,1.8000072635823738,0.0,0.008318399585178993,0.0,0.0,0.0,0.0,0.0,1.0186230441476123,1.0
2020-01-17,303.3584289550781,0.00311263699336517,298.8018341064453,2.7278591340028697,1.670392283763733,0.0,0.00311263699336517,0.0,0.0,0.0,0.0,0.0,1.0217936479171204,1.0
2020-01-21,302.7643127441406,-0.001958462842070796,299.50185241699216,2.7597155905056217,1.1821726624194373,0.0,-0.001958462842070796,0.0,-0.0,0.0,0.0,-0.0,1.0197925030254107,1.0
2020-01-22,302.8009033203125,0.0001208549839981643,300.2886932373047,2.411956265234554,1.0415653547364376,0.0,0.0001208549839981643,0.0,0.0,0.0,0.0,0.0,1.0199157500320453,1.0
2020-01-23,303.148193359375,0.0011469253732545592,300.953076171875,2.1550803972224983,1.0185778638834497,0.0,0.0011469253732545592,0.0,0.0,0.0,0.0,0.0,1.021085517284339,1.0
2020-01-24,300.4523010253906,-0.008892984992288744,301.1468200683594,1.9924821032750262,-0.34856977727788613,0.0,-0.008892984992288744,0.0,-0.0,0.0,0.0,-0.0,1.0120050191032859,1.0
2020-01-27,295.6361083984375,-0.016029807761552495,300.9448516845703,2.4381828363520235,-2.177336009007304,1.0,-0.016029807761552495,0.0,-0.0,1.0,0.0005,-0.0005,0.995782773193334,0.9995
2020-01-28,298.7342529296875,0.010479587720301442,300.8479827880859,2.5111571256819283,-0.8417354042807702,0.0,0.010479587720301442,1.0,0.010479587720301442,1.0,0.0005,0.009979587720301442,1.0062181661153786,1.0094745979264415
2020-01-29,298.48736572265625,-0.000826444254751646,300.7721221923828,2.575562851691726,-0.8870901629233626,0.0,-0.000826444254751646,0.0,-0.0,0.0,0.0,-0.0,1.0053865828929658,1.0094745979264415
2020-01-30,299.4560546875,0.0032453265232801343,300.7255035400391,2.596786882849485,-0.48885369104533677,0.0,0.0032453265232801343,0.0,0.0,0.0,0.0,0.0,1.0086493906365783,1.0094745979264415
2020-01-31,294.0186462402344,-0.018157617326989395,299.8856567382812,3.2618447498596366,-1.798678645971523,0.0,-0.018157617326989395,0.0,-0.0,0.0,0.0,-0.0,0.9903347209842983,1.0094745979264415
2020-02-03,296.2027893066406,0.0074285869088099865,299.1700927734375,3.1996480417754345,-0.9273843335438712,0.0,0.0074285869088099865,0.0,0.0,0.0,0.0,0.0,0.9976915085279423,1.0094745979264415
2020-02-04,300.7173156738281,0.015241336443033493,298.96539306640625,3.0036309531824554,0.5832682625559075,0.0,0.015241336443033493,0.0,0.0,0.0,0.0,0.0,1.0128976604757742,1.0094745979264415
2020-02-05,304.18994140625,0.011547807696542733,299.104296875,3.2246966074925765,1.5770924059750384,0.0,0.011547807696542733,0.0,0.0,0.0,0.0,0.0,1.0245944078752265,1.0094745979264415
2020-02-06,305.2135009765625,0.0033648698756463258,299.3108276367187,3.5610663246376295,1.6575578216573719,0.0,0.0033648698756463258,0.0,0.0,0.0,0.0,0.0,1.0280420347330415,1.0094745979264415
2020-02-07,303.5867919921875,-0.005329741243982222,299.62427673339846,3.8024720997780337,1.0420892395292916,0.0,-0.005329741243982222,0.0,-0.0,0.0,0.0,-0.0,1.0225628366999773,1.0094745979264415
2020-02-10,305.85321044921875,0.007465471215525099,300.64598693847654,3.9802897404698148,1.308252376151786,0.0,0.007465471215525099,0.0,0.0,0.0,0.0,0.0,1.0301967501234266,1.0094745979264415
2020-02-11,306.38336181640625,0.001733352304554403,301.41089782714846,4.294650608686913,1.1578273629989466,0.0,0.001733352304554403,0.0,0.0,0.0,0.0,0.0,1.0319824440343974,1.0094745979264415
2020-02-12,308.35723876953125,0.006442506999801756,302.39788513183595,4.666183162832802,1.2771366724656017,0.0,0.006442506999801756,0.0,0.0,0.0,0.0,0.0,1.0386309981537616,1.0094745979264415
2020-02-13,308.0281982421875,-0.0010670757354578342,303.2550994873047,4.849482018469117,0.984249191296021,0.0,-0.0010670757354578342,0.0,-0.0,0.0,0.0,-0.0,1.0375227002175373,1.0094745979264415
2020-02-14,308.52178955078125,0.0016024224775865736,304.7054138183594,3.84489736429813,0.9925819523451801,0.0,0.0016024224775865736,0.0,0.0,0.0,0.0,0.0,1.0391852499133722,1.0094745979264415
2020-02-18,307.7266540527344,-0.0025772425967209855,305.85780029296876,2.507819876036235,0.7452105223439942,0.0,-0.0025772425967209855,0.0,-0.0,0.0,0.0,-0.0,1.0365070174214113,1.0094745979264415
2020-02-19,309.1979675292969,0.00478123509025119,306.70586547851565,1.9477175882850708,1.2794986633434249,0.0,0.00478123509025119,0.0,0.0,0.0,0.0,0.0,1.041462801144398,1.0094745979264415
2020-02-20,307.9277038574219,-0.004108253628008263,307.0796417236328,1.760945532190003,0.4815947559345526,0.0,-0.004108253628008263,0.0,-0.0,0.0,0.0,-0.0,1.037184207813161,1.0094745979264415
2020-02-21,304.7565612792969,-0.01029833476624542,307.03394775390626,1.8196979169431593,-1.2515189765315995,0.0,-0.01029833476624542,0.0,-0.0,0.0,0.0,-0.0,1.026502937626838,1.0094745979264415
2020-02-24,294.64910888671875,-0.033165659666684166,306.1401794433594,4.259823125848368,-2.6975464044301427,1.0,-0.033165659666684166,0.0,-0.0,1.0,0.0005,-0.0005,0.9924582905506547,1.0089698606274782
2020-02-25,285.7207336425781,-0.03030172152182964,304.12693176269534,7.7434889562641365,-2.3769902977943063,1.0,-0.03030172152182964,1.0,-0.03030172152182964,0.0,0.0,-0.03030172152182964,0.9623850958083577,0.978396336886825
2020-02-26,284.6698303222656,-0.0036780786151386913,301.95557861328126,9.809259604086314,-1.7621868508623002,1.0,-0.0036780786151386913,1.0,-0.0036780786151386913,0.0,0.0,-0.0036780786151386913,0.9588453677679368,0.9747977182429916
2020-02-27,271.884765625,-0.04491190612925877,298.30833129882814,13.317668202285274,-1.98409851277823,1.0,-0.04491190612925877,1.0,-0.04491190612925877,0.0,0.0,-0.04491190612925877,0.9157817946182687,0.9310176946262467
2020-02-28,270.7424011230469,-0.0042016495456341785,294.5797515869141,15.357315316211514,-1.5521821342499875,1.0,-0.0042016495456341785,1.0,-0.0042016495456341785,0.0,0.0,-0.0042016495456341785,0.9119340004570108,0.927105884552643
2020-03-02,282.4672546386719,0.04330630690645432,291.97429809570315,14.933454182102263,-0.6366272224161948,0.0,0.04330630690645432,1.0,0.04330630690645432,1.0,0.0005,0.04280630690645432,0.9514264941592327,0.9667918635815833
2020-03-03,274.379638671875,-0.028632047906375746,288.6395965576172,14.747148360287152,-0.966963750371095,0.0,-0.028632047906375746,0.0,-0.0,0.0,0.0,-0.0,0.9241852051990704,0.9667918635815833
2020-03-04,285.9126281738281,0.0420329640995889,286.3110626220703,12.857658761782261,-0.030988102548381052,0.0,0.0420329640995889,0.0,0.0,0.0,0.0,0.0,0.9630314487505741,0.9667918635815833
2020-03-05,276.4083557128906,-0.033241877148424304,283.1591278076172,10.642221961996034,-0.6343385919626529,0.0,-0.033241877148424304,0.0,-0.0,0.0,0.0,-0.0,0.9310184756411385,0.9667918635815833
2020-03-06,271.8390808105469,-0.016530885582525356,279.8673797607422,7.976704095236791,-1.0064681921684113,0.0,-0.016530885582525356,0.0,-0.0,0.0,0.0,-0.0,0.9156279157450976,0.9667918635815833
2020-03-09,250.60989379882812,-0.07809468362098393,275.4634582519531,10.625995358913208,-2.3389398935016033,1.0,-0.07809468362098393,0.0,-0.0,1.0,0.0005,-0.0005,0.8441222433504433,0.9663084676497926
2020-03-10,263.5777282714844,0.05174510182373693,273.24915771484376,10.557954380738865,-0.9160325091954566,0.0,0.05174510182373693,1.0,0.05174510182373693,1.0,0.0005,0.05124510182373693,0.8878014347842932,1.0158270434676455
2020-03-11,250.7287139892578,-0.04874848253108899,269.855046081543,11.854545735474703,-1.6134175462371079,0.0,-0.04874848253108899,0.0,-0.0,0.0,0.0,-0.0,0.8445224620496353,1.0158270434676455
2020-03-12,226.73968505859375,-0.09567723037773745,265.34053802490234,17.999318061556213,-2.1445730796187275,1.0,-0.09567723037773745,0.0,-0.0,1.0,0.0005,-0.0005,0.7637208918889383,1.0153191299459117
2020-03-13,246.12286376953125,0.08548648511145518,262.87858428955076,18.84234525693513,-0.889258756887091,0.0,0.08548648511145518,1.0,0.08548648511145518,1.0,0.0005,0.08498648511145518,0.8290087065427093,1.1016075340664355
2020-03-16,219.19114685058594,-0.10942387272140675,256.5509735107422,21.90838341642528,-1.70527537107766,0.0,-0.10942387272140675,0.0,-0.0,0.0,0.0,-0.0,0.7382953633530418,1.1016075340664355
2020-03-17,231.0257568359375,0.053992189718404804,252.21558532714843,22.27483595932457,-0.9512899906380932,0.0,0.053992189718404804,0.0,0.0,0.0,0.0,0.0,0.7781575466794178,1.1016075340664355
2020-03-18,219.3282470703125,-0.050632924769215104,245.55714721679686,20.998024228346704,-1.2491127670514892,0.0,-0.050632924769215104,0.0,-0.0,0.0,0.0,-0.0,0.7387571541598019,1.1016075340664355
2020-03-19,219.79428100585938,0.002124824056052743,239.89573974609374,19.320875462359346,-1.0404010304499782,0.0,0.002124824056052743,0.0,0.0,0.0,0.0,0.0,0.7403268831325417,1.1016075340664355
2020-03-20,210.3224334716797,-0.043094149178190766,233.74407501220702,17.749615561867664,-1.3195576804967624,0.0,-0.043094149178190766,0.0,-0.0,0.0,0.0,-0.0,0.708423125990203,1.1016075340664355
2020-03-23,204.9449005126953,-0.02556804269625601,229.17757568359374,18.773051372985503,-1.2908223969263382,0.0,-0.02556804269625601,0.0,-0.0,0.0,0.0,-0.0,0.6903101332578703,1.1016075340664355
2020-03-24,223.51353454589844,0.09060305470763774,225.17115631103516,14.376075892978081,-0.11530418853356089,0.0,0.09060305470763774,0.0,0.0,0.0,0.0,0.0,0.7528543400266698,1.1016075340664355
2020-03-25,226.85960388183594,0.014970320892359057,222.78424530029298,11.317305734128439,0.3600997160705234,0.0,0.014970320892359057,0.0,0.0,0.0,0.0,0.0,0.7641248110820743,1.1016075340664355
2020-03-26,240.10589599609375,0.05838982299007012,224.12086639404296,12.557694415867752,1.2729271053014553,0.0,0.05838982299007012,0.0,0.0,0.0,0.0,0.0,0.8087419235434774,1.1016075340664355
2020-03-27,232.95416259765625,-0.029785746696340376,222.80399627685546,10.519077724862068,0.9649293014358715,0.0,-0.029785746696340376,0.0,-0.0,0.0,0.0,-0.0,0.7846529414661003,1.1016075340664355
2020-03-30,240.51951599121094,0.032475716721237946,224.93683319091798,11.790561151418965,1.3216235088537427,0.0,0.032475716721237946,0.0,0.0,0.0,0.0,0.0,0.8101351081176394,1.1016075340664355
2020-03-31,236.9344940185547,-0.014905326737757352,225.5277069091797,12.2679960650057,0.9298003560591857,0.0,-0.014905326737757352,0.0,-0.0,0.0,0.0,-0.0,0.7980597796294177,1.1016075340664355
2020-04-01,226.271240234375,-0.045005071247011585,226.22200622558594,12.073076433689069,0.004078000256146212,0.0,-0.045005071247011585,0.0,-0.0,0.0,0.0,-0.0,0.7621430423878214,1.1016075340664355
2020-04-02,231.49256896972656,0.023075529748912027,227.39183502197267,11.947155668816203,0.34323935013732193,0.0,0.023075529748912027,0.0,0.0,0.0,0.0,0.0,0.7797298968353679,1.1016075340664355
2020-04-03,228.1465606689453,-0.014454063539373618,229.17424774169922,10.338955178552025,-0.09939950942875006,0.0,-0.014454063539373618,0.0,-0.0,0.0,0.0,-0.0,0.7684596313629602,1.1016075340664355
2020-04-06,243.47024536132812,0.067165968434731,233.0267822265625,6.919698202179054,1.5092367946736358,0.0,0.067165968434731,0.0,0.0,0.0,0.0,0.0,0.8200739667064498,1.1016075340664355
2020-04-07,243.71847534179688,0.0010195495556359901,235.04727630615236,6.781727622100728,1.278612105768781,0.0,0.0010195495556359901,0.0,0.0,0.0,0.0,0.0,0.820910072754794,1.1016075340664355
2020-04-08,251.89967346191406,0.0335682311677179,237.55128326416016,7.94558764747508,1.805831215305199,0.0,0.0335682311677179,0.0,0.0,0.0,0.0,0.0,0.848466571844935,1.1016075340664355
2020-04-09,255.73297119140625,0.015217557358492506,239.1139907836914,9.819586149522193,1.6924318555444926,0.0,0.015217557358492506,0.0,0.0,0.0,0.0,0.0,0.8613781605687488,1.1016075340664355
