Date,KO,PEP,rolling_intercept,rolling_beta,rolling_spread,spread_mean,spread_std,zscore,pair_position,KO_ret,PEP_ret,pair_position_lagged,beta_series,w1,w2,strategy_gross_return,turnover,transaction_cost,strategy_net_return,benchmark_return,cum_strategy,cum_benchmark
2020-03-30,37.50503158569336,104.27664184570312,-16.545753396123857,0.5485321278746622,-3.1483032574303635,,,,0.0,0.05115604810480723,0.0416732623501872,0.0,0.5485321278746622,0.0,-0.0,0.0,0.0,0.0,0.0,0.046414655227497215,1.0,1.046414655227497
2020-03-31,36.87995529174805,99.80574035644531,-17.186496985917472,0.5537150204093999,-1.1974852807788636,,,,0.0,-0.016666464938633774,-0.04287538810343883,0.0,0.5537150204093999,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0297709265210363,1.0,1.0152619214161838
2020-04-01,35.1047248840332,98.16031646728516,-17.54442581137184,0.5566826402836009,-1.9949934466770856,,,,0.0,-0.048135373095532286,-0.016486265051325777,0.0,0.5566826402836009,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03231081907342903,1.0,0.9824579771611636
2020-04-02,36.62992858886719,102.93038177490234,-18.1743801456044,0.5620110656353814,-3.043704813097918,,,,0.0,0.04344724847929804,0.04859464067851649,0.0,0.5620110656353814,0.0,-0.0,0.0,0.0,0.0,0.0,0.046020944578907264,1.0,1.0276716212792028
2020-04-03,36.529911041259766,103.53703308105469,-18.820951153932494,0.567236600471535,-3.37913247261406,,,,0.0,-0.00273048710331969,0.005893802157258321,0.0,0.567236600471535,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0015816575269693156,1.0,1.0292970458342519
2020-04-06,38.89690017700195,108.99686431884766,-19.45760804913621,0.5723545263568782,-4.030340425460807,,,,0.0,0.06479591842062593,0.052733124325850644,0.0,0.5723545263568782,0.0,-0.0,0.0,0.0,0.0,0.0,0.05876452137323829,1.0,1.0897831940835898
2020-04-07,38.76354217529297,108.43173217773438,-19.743536958238504,0.5740968821301843,-3.743240233681007,,,,0.0,-0.003428499471735069,-0.005184847698554984,0.0,0.5740968821301843,0.0,-0.0,0.0,0.0,0.0,0.0,-0.004306673585145027,1.0,1.085089853588095
2020-04-08,39.855350494384766,110.20184326171875,-20.06565328514649,0.5761526440979964,-3.5720796001809703,,,,0.0,0.028165855281091723,0.016324659289615795,0.0,0.5761526440979964,0.0,-0.0,0.0,0.0,0.0,0.0,0.02224525728535376,1.0,1.1092279565588892
2020-04-09,40.83882141113281,111.04948425292969,-20.171714973762118,0.5763450376514179,-2.9922827980303595,,,,0.0,0.024676007224841978,0.007691713369964992,0.0,0.5763450376514179,0.0,-0.0,0.0,0.0,0.0,0.0,0.016183860297403485,1.0,1.1271795468458126
2020-04-13,39.113590240478516,108.77244567871094,-20.193643464459647,0.57589351120338,-3.3341119591535886,,,,0.0,-0.042244881488768704,-0.020504719941179528,0.0,0.57589351120338,0.0,-0.0,0.0,0.0,0.0,0.0,-0.031374800714974116,1.0,1.0918145131935304
2020-04-14,40.77214813232422,115.01343536376953,-20.35179175405347,0.5766873620518099,-5.202854754070913,,,,0.0,0.042403621903500666,0.057376568542855555,0.0,0.5766873620518099,0.0,-0.0,0.0,0.0,0.0,0.0,0.04989009522317811,1.0,1.1462852432228037
2020-04-15,39.680328369140625,112.21289825439453,-19.92100565120164,0.5718992615688515,-4.5731396298466365,,,,0.0,-0.026778568537525693,-0.024349651851693133,0.0,0.5718992615688515,0.0,-0.0,0.0,0.0,0.0,0.0,-0.025564110194609413,1.0,1.1169814809506013
2020-04-16,39.25527572631836,112.71983337402344,-19.83853464751752,0.5704266412547063,-5.20458558049846,,,,0.0,-0.010711923522105482,0.004517618986006777,0.0,0.5704266412547063,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0030971522680493524,1.0,1.113522019223506
2020-04-17,40.05538558959961,114.30709075927734,-19.678182965944593,0.5681560453556915,-5.210696086360919,,,,0.0,0.02038222502522946,0.014081438356878362,0.0,0.5681560453556915,0.0,-0.0,0.0,0.0,0.0,0.0,0.01723183169105391,1.0,1.1327100432430481
2020-04-20,38.78019714355469,111.81401062011719,-19.35309593840238,0.5644328539452431,-4.9782080434194,,,,0.0,-0.03183563027230041,-0.021810371715350607,0.0,0.5644328539452431,0.0,-0.0,0.0,0.0,0.0,0.0,-0.026823000993825508,1.0,1.1023273606274238
2020-04-21,37.82175064086914,108.81400299072266,-19.275865302009976,0.5629545848651054,-4.159725938273496,,,,0.0,-0.024714843484101356,-0.026830337385776448,0.0,0.5629545848651054,0.0,-0.0,0.0,0.0,0.0,0.0,-0.025772590434938902,1.0,1.073917529036746
2020-04-22,38.0717887878418,110.21012878417969,-19.42716216601379,0.5636181899707389,-4.617482347925801,,,,0.0,0.006610961754437428,0.012830387221174577,0.0,0.5636181899707389,0.0,-0.0,0.0,0.0,0.0,0.0,0.009720674487806003,1.0,1.0843567317632612
2020-04-23,37.56337356567383,108.24891662597656,-19.412788826729834,0.5626719318161015,-3.9324646425346828,,,,0.0,-0.013354119634387374,-0.01779520793450562,0.0,0.5626719318161015,0.0,-0.0,0.0,0.0,0.0,0.0,-0.015574663784446496,1.0,1.067468240243647
2020-04-24,37.863426208496094,111.65612030029297,-19.60484602285355,0.5637655087505462,-5.479597234857209,,,,0.0,0.007987904555422087,0.031475637636994014,0.0,0.5637655087505462,0.0,-0.0,0.0,0.0,0.0,0.0,0.01973177109620805,1.0,1.0885312792126065
2020-04-27,38.98857879638672,111.73922729492188,-19.398781449829634,0.5609521740304859,-4.293002229356688,,,,0.0,0.02971607961981415,0.0007443120395496106,0.0,0.5609521740304859,0.0,-0.0,0.0,0.0,0.0,0.0,0.01523019582968188,1.0,1.1051098237617487
2020-04-28,38.955238342285156,113.284912109375,-19.029919926238442,0.556733293374986,-5.0843239398245785,,,,0.0,-0.0008551338656297425,0.013832964947694482,0.0,0.556733293374986,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0064889155410323696,1.0,1.1122807880717038
2020-04-29,39.271942138671875,110.82510375976562,-18.40153205950461,0.5499436334842411,-3.2740860447370537,,,,0.0,0.008129941180283984,-0.021713468314601858,0.0,0.5499436334842411,0.0,-0.0,0.0,0.0,0.0,0.0,-0.006791763567158937,1.0,1.1047264399388277
2020-04-30,38.246803283691406,109.9358901977539,-18.021707360711524,0.5456698574108113,-3.720190884136052,,,,0.0,-0.026103594555131338,-0.008023575271711492,0.0,0.5456698574108113,0.0,-0.0,0.0,0.0,0.0,0.0,-0.017063584913421415,1.0,1.0858758465248297
2020-05-01,38.00510787963867,108.1491928100586,-17.659528591574144,0.5414810417923717,-2.8961011205817826,,,,0.0,-0.00631936222904661,-0.01625217555869496,0.0,0.5414810417923717,0.0,-0.0,0.0,0.0,0.0,0.0,-0.011285768893870785,1.0,1.0736209026735142
2020-05-04,37.621734619140625,108.79742431640625,-17.413653297021348,0.5385243080005104,-3.55466972606861,,,,0.0,-0.010087414084237856,0.005993863564808466,0.0,0.5385243080005104,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.002046775259714695,1.0,1.0714234419716095
2020-05-05,37.83841323852539,109.42066192626953,-17.064604903276702,0.5344874054403721,-3.5809475527378183,,,,0.0,0.005759400027093076,0.005728422467528027,0.0,0.5344874054403721,0.0,-0.0,0.0,0.0,0.0,0.0,0.005743911247310551,1.0,1.0775776031305824
2020-05-06,37.29667663574219,108.6810531616211,-16.619839211672186,0.529588063423303,-3.6396726272535815,,,,0.0,-0.014317106781624567,-0.006759315394626375,0.0,0.529588063423303,0.0,-0.0,0.0,0.0,0.0,0.0,-0.010538211088125471,1.0,1.066221862884956
2020-05-07,37.171661376953125,109.3209457397461,-16.05672269700348,0.5235120535314491,-4.002448724258002,,,,0.0,-0.003351914166777492,0.005887802514881857,0.0,0.5235120535314491,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0012679441740521824,1.0,1.067573772684248
2020-05-08,38.4301643371582,111.5480728149414,-15.400792269863224,0.5165394245252728,-3.788020731711633,,,,0.0,0.03385651632416309,0.020372372925654192,0.0,0.5165394245252728,0.0,-0.0,0.0,0.0,0.0,0.0,0.02711444462490864,1.0,1.0965204426266997
2020-05-11,37.95510482788086,111.67273712158203,-14.441485275691111,0.5067925403493443,-4.198320030039113,-3.860873738519915,0.9640213552715292,-0.3500402658861762,0.0,-0.012361630960240455,0.0011175836883121626,0.0,0.5067925403493443,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.005622023635964146,1.0,1.0903557787809346
